game_id,team_id_h,cluster_0h,cluster_1h,cluster_2h,cluster_3h,cluster_4h,cluster_5h,cluster_6h,cluster_7h,cluster_8h,cluster_9h,cluster_10h,cluster_11h,team_id_a,cluster_0a,cluster_1a,cluster_2a,cluster_3a,cluster_4a,cluster_5a,cluster_6a,cluster_7a,cluster_8a,cluster_9a,cluster_10a,cluster_11a
20300158,1610612763,0,0,3,0,0,2,1,0,2,4,0,0,1610612765,1,0,3,0,1,1,0,0,0,5,0,1
20300159,1610612743,1,0,0,0,1,2,0,0,0,5,1,1,1610612749,2,0,2,0,0,1,0,0,2,5,0,0
20300160,1610612762,1,0,0,0,1,1,2,0,1,5,1,0,1610612758,1,0,0,0,0,0,2,0,1,5,1,1
20300161,1610612757,1,0,1,0,0,0,1,0,1,6,1,0,1610612748,0,0,2,0,0,2,0,0,1,5,1,1
20300162,1610612742,2,0,1,0,0,1,0,0,0,5,1,1,1610612759,0,0,1,0,1,3,1,0,1,4,1,0
20300163,1610612756,1,0,2,0,0,0,2,0,0,6,1,0,1610612753,1,0,0,0,0,2,2,0,0,6,0,1
20300164,1610612755,0,0,1,0,1,2,1,0,1,3,0,1,1610612738,0,0,2,0,0,3,1,0,1,4,0,1
20300165,1610612740,1,0,2,0,0,2,0,0,1,5,0,1,1610612754,0,0,1,0,0,3,1,0,0,6,0,1
20300166,1610612739,0,0,1,0,0,1,1,0,1,5,2,0,1610612750,1,0,2,0,0,1,1,0,0,6,1,0
20300167,1610612765,1,0,3,0,1,1,0,0,0,5,0,1,1610612752,1,0,1,0,1,1,0,0,1,6,0,0
20300168,1610612759,0,0,1,0,1,2,1,0,1,5,1,0,1610612737,2,0,1,0,1,2,1,0,0,4,1,0
20300169,1610612743,1,0,0,0,2,2,0,0,0,4,1,1,1610612764,2,0,1,0,1,2,0,0,0,5,0,1
20300170,1610612762,0,0,1,0,1,3,2,0,1,3,1,0,1610612749,2,0,1,0,0,1,0,0,2,6,0,0
20300171,1610612758,1,0,0,0,0,1,2,0,1,4,1,1,1610612753,1,0,1,0,0,1,2,0,0,6,0,1
20300172,1610612747,0,0,0,0,0,2,2,0,0,6,1,1,1610612741,1,0,1,0,0,2,1,0,3,3,1,0
20300173,1610612744,2,0,0,0,0,1,1,0,0,6,0,1,1610612748,1,0,2,0,0,2,0,0,1,5,1,0
