,player_id,player_name,game_id,home_team_id,visitor_team_id,season,team_id,played,mpg,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,cluster,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
883,201963,Christian Eyenga,1430247775,109521666626,109521666784,136702,109521666260,68,1311.6022375589464,203.07330876330136,472.89289019022056,26.70641817114984,33.36163899147474,141.86761743938925,12.538687114706326,29.074963274555945,41.14842150806058,17.150827389745693,44.453979161276784,149.02810950973,193.48208867100678,55.517709763869405,47.6048171184213,48.26518519147346,77.87134106379439,134.1539264084105,468.58321979263343,488,0,0,0,0,0,31,0,0,0,37,0,0
884,201964,Victor Claver,2274175535,172335564679,172335564673,215341,172335564999,107,1032.8470134670936,89.78791872864485,244.35637026775734,23.395211053129973,28.76702554227172,110.65991612325685,15.42123722199659,19.49374342262561,41.877520085397556,9.31729720645314,47.26018560466224,121.54953789849768,168.80972350315992,53.44390197831217,36.06291592789229,13.410252268193029,62.473471354516235,90.08616409410195,227.83660642218703,963,0,0,0,0,0,0,0,0,0,107,0,0
885,201965,Jeff Ayres,7251422791,550829561708,550829561735,688112,550829562557,342,2265.430459130684,284.3259772894902,506.71957640758205,90.10942786503354,1.999999999999998,4.0933041102852386,1.999999999999998,116.26393320774447,146.58350866451391,51.99116339256136,197.29586518751557,447.96426312272865,645.2601283102442,83.53005479667367,38.715945776898046,72.38702064830147,119.5164050983794,375.70091302729946,686.9158877867249,3078,0,0,0,0,0,0,0,0,0,342,0,0
886,201966,Jermaine Taylor,3142993405,241591912730,241591912591,301429,241591912504,150,564.8279640930199,93.76590001511377,225.3884907971235,20.46897157563445,10.806710466063237,43.358276354170776,4.155028521315178,52.33260576086976,70.75618214014298,15.936343882966206,32.600608287503974,44.474269018620284,77.07487730612426,31.408645538410717,16.73853861390276,6.323180194068621,41.05889946128327,33.742171456496195,250.67111625716055,1350,0,0,0,0,0,0,0,0,0,150,0,0
887,201967,Dante Cunningham,15745449202,1188632210137,1188632210105,1485850,1188632209657,738,13931.019580173253,1756.6106539587277,3735.5720834656763,306.17035860376006,201.7070367271068,590.3898048094164,72.2064243112968,367.60839047691815,570.454136758652,160.51872061468245,794.1023291703473,1828.8760229977468,2622.978352168094,481.7314628777524,449.3104023143594,332.1223133938685,342.6394729210701,1208.1420523347545,4082.5367351214804,5863,0,0,33,0,0,137,0,0,0,568,0,0
888,201969,DaJuan Summers,2789080795,214211496603,214211496559,267290,214211497288,133,729.5077470464485,83.8244449848622,236.73182180325017,21.72071182398452,28.625884922941612,74.34347776908285,15.217436119770092,44.045198924883984,63.95078915795378,19.731973531059136,21.212154377810517,52.66652001516546,73.87867439297598,25.03958365589806,15.604406938079705,11.50224956685749,28.924981247633557,97.03690754437721,240.31997381755002,1197,0,0,0,0,0,0,0,0,0,133,0,0
889,201970,Sam Young,6038067537,462245860905,462245860865,576979,462245862221,287,4098.941627398999,617.0329124435971,1395.5850174615534,94.54765266359338,47.23346059858413,181.58471828945275,28.829887139250687,300.93699556152063,396.39198845525027,100.34078722818549,180.06779583193847,413.2997169792221,593.3675128111606,177.52656295721738,146.4773599997458,60.1332233811196,232.68625245689265,343.3573265311692,1582.236281047299,1991,0,0,0,0,0,148,0,0,0,139,0,0
890,201971,DeJuan Blair,9473163332,721554513725,721554513677,901129,721554514928,448,7125.269742659664,1310.6877587533218,2462.682574200603,203.06017036349485,0.0,8.377034629146923,0.0,385.79387892493,646.5441266204871,134.73924481498364,863.0072758936158,1435.1027115715497,2298.1099874651654,362.5553873819631,314.87849736506223,140.06782840990078,497.4972482538056,1037.4105671113603,3007.1693964315737,1988,0,0,292,0,0,0,0,0,0,156,0,0
891,201972,Jon Brockman,4095504777,314069486599,314069486528,391954,314069486586,195,1714.873821313891,144.96763221773702,276.00910461585136,64.11661915874487,0.0,0.4512195121951215,0.0,96.52892517670132,164.84535290580618,34.95020738183794,253.0542641630278,292.499577782425,545.5538419454529,55.289327169000586,35.81691196635988,9.812899052008497,61.06261725627071,309.18313846551814,386.46418961217535,1727,0,0,4,0,0,0,0,0,0,191,0,0
892,201973,Jonas Jerebko,14734912810,1109712187050,1109712186950,1387545,1109712188335,689,11265.738485446447,1488.8980757172149,3245.182720643436,271.19906974192753,380.25405039233124,1060.2861499047249,167.55633811503827,601.469522598216,793.2964856841676,232.56803542747002,801.9012589149486,1769.7359285128832,2571.6371874278316,499.00972417218554,326.32095733551097,158.15718307216358,460.01857640364597,1271.7304900892766,3959.519724424977,4713,0,0,0,0,0,372,0,0,0,317,0,0
